Benchmark, Numparts, Cutsize
ibm01,2,203
ibm01,3,352
ibm01,4,522
ibm02,2,333
ibm02,3,339
ibm02,4,706
ibm03,2,957
ibm03,3,1480
ibm03,4,1690
ibm04,2,580
ibm04,3,1212
ibm04,4,1626
ibm05,2,1716
ibm05,3,2635
ibm05,4,2946
ibm06,2,976
ibm06,3,1305
ibm06,4,1476
ibm07,2,935
ibm07,3,1846
ibm07,4,2154
ibm08,2,1140
ibm08,3,2037
ibm08,4,2328
ibm09,2,620
ibm09,3,1384
ibm09,4,1676
ibm10,2,1257
ibm10,3,1880
ibm10,4,2400
ibm11,2,1051
ibm11,3,1843
ibm11,4,2452
ibm12,2,1937
ibm12,3,2791
ibm12,4,3844
ibm13,2,832
ibm13,3,1335
ibm13,4,1904
ibm14,2,1850
ibm14,3,2710
ibm14,4,3475
ibm15,2,2741
ibm15,3,4333
ibm15,4,4720
ibm16,2,1921
ibm16,3,3062
ibm16,4,4060
ibm17,2,2307
ibm17,3,4248
ibm17,4,5583
ibm18,2,1523
ibm18,3,2401
ibm18,4,2918
