Benchmark, Numparts, Cutsize
ibm01.weight,2,215
ibm01.weight,3,387
ibm01.weight,4,349
ibm02.weight,2,296
ibm02.weight,3,334
ibm02.weight,4,524
ibm03.weight,2,957
ibm03.weight,3,1230
ibm03.weight,4,1447
ibm04.weight,2,529
ibm04.weight,3,797
ibm04.weight,4,1446
ibm05.weight,2,1721
ibm05.weight,3,2642
ibm05.weight,4,3061
ibm06.weight,2,845
ibm06.weight,3,963
ibm06.weight,4,1261
ibm07.weight,2,803
ibm07.weight,3,1328
ibm07.weight,4,1824
ibm08.weight,2,1182
ibm08.weight,3,1749
ibm08.weight,4,2268
ibm09.weight,2,519
ibm09.weight,3,1334
ibm09.weight,4,1535
ibm10.weight,2,1028
ibm10.weight,3,1560
ibm10.weight,4,2143
ibm11.weight,2,763
ibm11.weight,3,1508
ibm11.weight,4,2068
ibm12.weight,2,1967
ibm12.weight,3,3185
ibm12.weight,4,3613
ibm13.weight,2,846
ibm13.weight,3,1636
ibm13.weight,4,1784
ibm14.weight,2,1929
ibm14.weight,3,2780
ibm14.weight,4,3455
ibm15.weight,2,2474
ibm15.weight,3,3836
ibm15.weight,4,4758
ibm16.weight,2,1660
ibm16.weight,3,2742
ibm16.weight,4,3729
ibm17.weight,2,2301
ibm17.weight,3,3580
ibm17.weight,4,5738
ibm18.weight,2,1579
ibm18.weight,3,2836
ibm18.weight,4,3209
